CSD_UID,OFFNAME,OFF_CSDTYPE,POP,PRIV_DWELL,OCC_DWELL,LAND_AREA,REPPOINT_LATITUDE,REPPOINT_LONGITUDE,MET_NMET_CODE
5939007,Golden,T,3701,1722,1539,11.4105,51.297632,-116.962455,998
5939011,Columbia-Shuswap A,RDA,3065,1798,1324,13458.2892,51.584189,-117.330261,998
5939019,Revelstoke,CY,7139,3379,3076,40.7626,50.996758,-118.192816,998
5939023,Columbia-Shuswap B,RDA,552,339,240,9776.6478,51.249551,-117.978412,997
5939032,Salmon Arm,CY,17464,7755,7349,155.2765,50.700369,-119.284492,920
5939037,Columbia-Shuswap C,RDA,7662,4807,3406,506.3419,50.852166,-119.273483,996
5939039,Columbia-Shuswap D,RDA,4047,1821,1624,693.9779,50.574086,-119.472462,996
5939043,Columbia-Shuswap E,RDA,1335,1124,605,1531.9808,50.976181,-118.72336,997
5939044,Columbia-Shuswap F,RDA,2368,3221,1173,2656.9296,51.203853,-119.022362,997
5939045,Sicamous,DM,2441,1916,1119,12.7148,50.836316,-118.979456,997
5939801,Chum Creek 2,IRI,51,32,22,2.7739,50.858874,-119.592512,999
5939802,Hustalen 1,IRI,26,45,15,9.1418,50.959142,-119.640437,999
5939803,North Bay 5,IRI,75,39,29,3.6624,50.784919,-119.32188,999
5939804,Okanagan (Part) 1,IRI,69,37,36,17.7588,50.443478,-119.333227,996
5939805,Quaaout 1,IRI,234,222,99,17.0991,50.887684,-119.599938,997
5939806,Salmon River 1,IRI,45,17,16,16.1334,50.49497,-119.316044,999
5939807,Scotch Creek 4,IRI,19,62,10,7.9427,50.915135,-119.473865,999
5939808,Switsemalph 3,IRI,90,27,22,5.4609,50.705209,-119.324624,920
5939811,Switsemalph,IRI,129,67,42,4.8276,50.734502,-119.317642,920
5941005,One Hundred Mile House,DM,1886,908,829,53.2874,51.639042,-121.298064,998
5941009,Williams Lake,CY,10832,4947,4528,33.1304,52.129446,-122.134924,950
5941010,Cariboo D,RDA,2988,1400,1235,852.7643,52.361149,-122.228276,950
5941012,Cariboo E,RDA,4129,1826,1681,1748.9011,51.821565,-122.124442,950
5941013,Quesnel,CY,10007,4627,4328,35.38,52.986044,-122.473934,952
5941014,Cariboo F,RDA,4564,2191,1901,9760.3058,52.482499,-121.249979,996
5941015,Cariboo G,RDA,4955,2550,2121,2682.7575,51.815021,-121.557409,998
5941016,Cariboo H,RDA,1569,1002,736,2602.652,51.907515,-120.701624,998
5941017,Cariboo L,RDA,4177,3141,1884,1269.8149,51.547157,-120.914558,998
5941019,Cariboo A,RDA,6250,2634,2537,779.3985,52.775536,-122.280999,952
