Name,First Nations/Band Name,Type,Nation,Population,Address,City,Province,Postal Code,Latitude,Longitude
Haisla Nation,Haisla Nation Council,First Nation or Band,Haisla,1816,500 Gitksan Ave.  Haisla PO Box 1101,Kitimat Village,BC,V0T 2B0,53.973206,-128.648071
Halalt,,First Nation or Band,Coast Salish,210,"7973 Chemainus RD, RR 5",Chemainus,BC,V0R 1K5,48.876587,-123.692826
Halfway River First Nation,,First Nation or Band,Dunne-zaa (Beaver),271,PO BOX 59,Wonowon,BC,V0C 2N0,56.473889,-121.881111
Heiltsuk Nation,Heiltsuk Nation,First Nation or Band,Heiltsuk,2379,PO BOX 880,Bella Bella,BC,V0T 1Z0,52.166944,-128.146944
Hesquiaht,,First Nation or Band,Nuu-chah-nulth,718,PO BOX 2000,Tofino,BC,V0R 2Z0,49.367004,-126.271973
High Bar,Llenlleney'ten,First Nation or Band,Secwepemc,118,PO BOX 458,Clinton,BC,V0K 1K0,51.113037,-122.018066
Homalco,,First Nation or Band,Coast Salish,470,1218 BUTE CRESCENT,Campbell River,BC,V9H 1G5,49.951938,-125.243754
Hupacasath First Nation,,First Nation or Band,Nuu-chah-nulth,313,PO BOX 211,Port Alberni,BC,V9Y 7M7,49.265198,-124.8255
Huu-ay-aht First Nations,,First Nation or Band,Nuu-chah-nulth,709,3483 3RD AVE,Port Alberni,BC,V9Y 4E4,48.800598,-125.120667
Iskut Band Council,Iskut,First Nation or Band,Tahltan,747,PO BOX 30,Iskut,BC,V0J 1K0,57.840027,-129.985291
K'ÌÎ_moks First Nation,,First Nation or Band,Kwakwaka'wakw,330,3320 COMOX ROAD,Courtenay,BC,V9N 3P8,49.678237,-124.958389
Ka:'yu:'k't'h'/Che:k:tles7et'h',Kyuquot,First Nation or Band,Nuu-chah-nulth,552,GENERAL DELIVERY,Kyuquot,BC,V0P 1J0,50.089233,-127.305298
Kanaka Bar,,First Nation or Band,Nlaka'pamux,230,PO BOX 402,Lytton,BC,V0K 1Z0,50.111816,-121.561584
Katzie,,First Nation or Band,Sto:lo,555,10946 Katzie Road,Pitt Meadows,BC,V3Y 2G6,49.201504,-122.677245
Kispiox,Anspa yaxw,First Nation or Band,Gitxsan,1609,1336 KISPIOX VALLEY ROAD,Kispiox,BC,V0J 1Y4,55.348889,-127.696111
Kitasoo,Xai'xais Nation,First Nation or Band,Tsimshian,515,GENERAL DELIVERY,Klemtu,BC,V0T 1L0,52.583056,-128.533056
Kitselas Nation,Gitselasu,First Nation or Band,Tsimshian,624,2225 GITAUS ROAD,Terrace,BC,V8G 0A9,54.491638,-128.584106
Kitsumkalum First Nation,Kitsumkalum,First Nation or Band,Tsimshian,736,PO BOX 544,Terrace,BC,V8G 4B5,54.527039,-128.670898
Klahoose First Nation,,First Nation or Band,Coast Salish,389,"PO BOX 9, CORTES ISLAND",Squirrel Cove,BC,V0P 1T0,50.128056,-124.936111
Kwadacha,,First Nation or Band,Kaska/Sekani,538,207 - 513 AHBAU STREET,Prince George,BC,V2M 3R8,57.428889,-125.641111
Kwakiutl,,First Nation or Band,Kwakwaka'wakw,765,PO BOX 1440,Port Hardy,BC,V0N 2P0,50.693889,-127.411944
Kwaw-kwaw-Apilt,,First Nation or Band,Sto:lo,44,7654 Vancouver River RD,Vancouver,BC,V2R 4L9,49.163056,-121.983056
Kwiakah,,First Nation or Band,Kwakwaka'wakw,22,"PO BOX 437, STATION A",Campbell River,BC,V9W 5B6,50.423889,-125.158889
Kwikwasut'inuxw Haxwa'mis,Kwicksutaineuk & Ah-kwaw-ah-mish,First Nation or Band,Kwakwaka'wakw,300,"PO BOX 10, 14 Gatu ST",Alert Bay,BC,V0N 1A0,50.588662,-126.929523
Kwikwetlem First Nation,,First Nation or Band,Sto:lo,82,2 - 65 Colony Farm RD,Coquitlam,BC,V3C 5X9,49.230405,-122.8051
Lake Babine Nation,NatåäÌÝå»ootåäÌÝå»en,First Nation or Band,Dakelh (Carrier),2433,PO BOX 879,Burns Lake,BC,V0J 1E0,54.238611,-125.7625
Lake Cowichan First Nation,,First Nation or Band,Coast Salish,20,"313B Deer RD, PO BOX 159",Lake Cowichan,BC,V0R 2G0,48.825989,-124.06958
Langley,Kwantlen First Nation,First Nation or Band,Sto:lo,256,"23690 GABRIEL LANE, PO BOX 108",Fort Langley,BC,V1M 2R4,49.173889,-122.561944
Lax Kw'alaams,Lax Kw'alaams First Nation,First Nation or Band,Tsimshian,3696,206 Shashaak ST,Port Simpson,BC,V0V 1H0,54.551025,-130.416992
Leq' a: mel First Nation,Lakahahmen First Nation,First Nation or Band,Sto:lo,398,43101 Leq'a: mel Way,Deroche,BC,V0M 1G0,49.185,-122.076944
Lheidli T'enneh ,Lheidli T'enneh Nation,First Nation or Band,Dakelh (Carrier),405,1041 Whenun RD,Prince George,BC,V2K 5X8,54.016602,-122.62561
Lhoosk'uz Dene Nation,Kluskus,First Nation or Band,Dakelh (Carrier),234,PO BOX 4639,Quesnel,BC,V2J 3J8,53.09082,-124.488098
Lhtako Dene Nation,Red Bluff Indian Band,First Nation or Band,Dakelh (Carrier),175,"1515 Arbutus RD, PO BOX 4693",Quesnel,BC,V2J 3J9,52.9552,-122.4505
Liard River First Nation,Liard River First Nation,First Nation or Band,Liard,,PO BOX 328,WATSON LAKE,YT,Y0A 1C0,60.060738,-128.689482
Little Shuswap Lake,Skwlax,First Nation or Band,Secwepemc,344,PO BOX 1100,Chase,BC,V0E 1M0,50.876027,-119.615824
Lower Kootenay,Yaqan nu?kiy,First Nation or Band,Ktunaxa,236,830 Simon RD,Creston,BC,V0B 1G2,49.065319,-116.519065
Lower Nicola,,First Nation or Band,Nlaka'pamux,1216,181 Nawishaskin Lane,Merritt,BC,V1K 0A7,50.138428,-120.858765
Lower Post First Nation,Daylu Dena Council,First Nation or Band,Caska Dena,,"PO Box 10, Building 29",Lower Post,BC,V0C 1W0,60.217991,-131.945801
Lower Similkameen,Smelqmix,First Nation or Band,Syilx (Okanagan),491,"PO BOX 100, 517th Ave",Keremeos,BC,V0X 1N0,49.033889,-119.721944
Lyackson,,First Nation or Band,Coast Salish,208,9137 Chemainus RD,Chemainus,BC,V0R 1K5,49.041199,-123.63678
Lytton,,First Nation or Band,Nlaka'pamux,1976,PO BOX 20,Lytton,BC,V0K 1Z0,50.256042,-121.591064
Malahat First Nation,,First Nation or Band,Coast Salish,320,"110 Thunder RD, RR 44",Mill Bay,BC,V0R 2P4,48.614014,-123.520203
Mamalilikulla-Qwe'Qwa'Sot'Em,,First Nation or Band,Kwakwaka'wakw,413,1441A Old Island HWY4,Campbell River,BC,V9W 2E4,50.594238,-126.682312
Matsqui,,First Nation or Band,Sto:lo,257,PO BOX 10,Matsqui,BC,V4X 3R2,49.106944,-122.348056
McLeod Lake Indian Band,McLeod Lake Indian Band,First Nation or Band,Sekani,532,General Delivery,Mcleod Lake,BC,V0J 2G0,54.987681,-123.045159
Metlakatla First Nation,Metlakatla First Nation,First Nation or Band,Tsimshian,889,PO BOX 459,Prince Rupert,BC,V8J 3R2,54.33783,-130.445374
Moricetown Band,Moricetown Band,First Nation or Band,Wet'suwet'en,2001,205 Beaver RD,Smithers,BC,V0J 2N1,55.011597,-127.32251
Mount Currie,Lil'wat First Nation,First Nation or Band,St'ÌÎÌt'imc,2155,PO BOX 602,Mount Currie,BC,V0N 2K0,50.328056,-122.676111
Mowachah t/ Muchalaht,Yuquot,First Nation or Band,Nuu-chah-nulth,598,PO BOX 459,Gold River,BC,V0P 1G0,49.684204,-126.120605
Musqueam,,First Nation or Band,Coast Salish,1340,6735 Salish DR,Vancouver,BC,V6N 4C4,49.225165,-123.19828
