CENSUS_SUBDIVISION_ID,ELEVATION_POINT,ELEVATION_MEAN,ELEVATION_MAX,ELEVATION_MIN
5941871,1122.0,1123.02040816,1129.0,1117.0
5941872,948.0,940.358616505,969.0,929.0
5941873,901.0,895.597701149,934.0,858.0
5941876,1181.0,1181.59705676,1200.0,1172.0
5941879,884.0,884.621212121,888.0,880.0
5941880,1110.0,1104.67259953,1123.0,1086.0
5941881,971.0,970.192090395,988.0,959.0
5941882,463.0,504.219194054,676.0,432.0
5941883,1028.0,1028.52796787,1052.0,1018.0
5941884,1226.0,1224.52793125,1321.0,1181.0
5941885,970.0,965.854103343,992.0,931.0
5943008,66.0,28.6384630699,99.0,0.0
5943012,36.0,46.5041824551,216.0,0.0
5943017,22.0,54.9407626951,513.0,0.0
5943023,68.0,36.9592663365,178.0,-1.0
5943027,311.0,76.1601431638,1262.0,0.0
5943031,66.0,262.294360922,1411.0,-226.0
5943033,857.0,631.72743951,1863.0,0.0
5943037,486.0,787.269562464,3982.0,-94.0
5943804,7.0,5.15789473684,7.0,2.0
5943806,36.0,26.6140776699,60.0,0.0
5943807,52.0,31.5964125561,60.0,0.0
5943808,62.0,62.8027079304,193.0,0.0
5943809,18.0,21.2037037037,52.0,4.0
5943813,17.0,25.0640243902,150.0,7.0
5943815,11.0,13.1891891892,22.0,0.0
5943816,24.0,27.5503875969,54.0,13.0
